LAMMPS data file generated by OpenBabel
5784 atoms
0  bonds
0  angles
0  dihedrals
0  impropers
3 atom types
0  bond types
0  angle types
0  dihedral types
0  improper types
0.000000 88.382870580513782 xlo xhi
0.000000 88.382870580513782 ylo yhi
0.000000 88.382870580513782 zlo zhi



Masses

1 12.0107 # C
2 1.00794 # H
3 15.9994 # O


Atoms

   1	1	0.000	87.552	56.137	41.543
   2	1	0.000	86.653	55.765	42.458
   3	2	0.000	88.159	57.025	41.682
   4	2	0.000	87.698	55.559	40.635
   5	2	0.000	86.506	56.342	43.365
   6	2	0.000	86.045	54.877	42.318
   7	1	0.000	61.134	4.746	32.184
   8	1	0.000	61.613	4.038	31.157
   9	2	0.000	60.736	5.745	32.039
  10	2	0.000	61.132	4.340	33.191
  11	2	0.000	61.615	4.444	30.151
  12	2	0.000	62.011	3.039	31.302
  13	1	0.000	22.731	79.713	25.055
  14	1	0.000	21.813	78.889	24.542
  15	2	0.000	22.869	79.799	26.127
  16	2	0.000	23.362	80.318	24.412
  17	2	0.000	21.182	78.284	25.184
  18	2	0.000	21.675	78.803	23.468
  19	1	0.000	23.058	70.779	7.823
  20	1	0.000	22.642	70.332	6.635
  21	2	0.000	22.371	70.881	8.656
  22	2	0.000	24.097	71.052	7.986
  23	2	0.000	21.605	70.059	6.472
  24	2	0.000	23.330	70.230	5.802
  25	1	0.000	51.724	6.440	67.587
  26	1	0.000	50.527	5.857	67.477
  27	2	0.000	52.010	6.966	68.492
  28	2	0.000	52.441	6.404	66.773
  29	2	0.000	49.810	5.893	68.290
  30	2	0.000	50.241	5.331	66.571
  31	1	0.000	79.940	24.788	63.772
  32	1	0.000	81.172	24.370	64.077
  33	2	0.000	79.343	25.340	64.490
  34	2	0.000	79.506	24.587	62.798
  35	2	0.000	81.607	24.572	65.050
  36	2	0.000	81.770	23.818	63.358
  37	1	0.000	22.757	35.880	4.964
  38	1	0.000	21.445	36.002	4.745
  39	2	0.000	23.143	35.683	5.959
  40	2	0.000	23.472	35.974	4.152
  41	2	0.000	20.730	35.908	5.555
  42	2	0.000	21.060	36.199	3.749
  43	1	0.000	46.639	12.228	81.837
  44	1	0.000	47.929	11.919	81.997
  45	2	0.000	46.028	12.533	82.680
  46	2	0.000	46.169	12.181	80.860
  47	2	0.000	48.399	11.965	82.973
  48	2	0.000	48.540	11.613	81.153
  49	1	0.000	23.876	67.810	61.155
  50	1	0.000	22.889	66.911	61.180
  51	2	0.000	24.482	68.001	62.034
  52	2	0.000	24.097	68.374	60.254
  53	2	0.000	22.667	66.347	62.081
  54	2	0.000	22.282	66.720	60.301
  55	1	0.000	70.449	35.098	46.232
  56	1	0.000	71.464	34.231	46.174
  57	2	0.000	70.090	35.477	47.183
  58	2	0.000	69.956	35.445	45.329
  59	2	0.000	71.957	33.885	47.076
  60	2	0.000	71.823	33.852	45.222
  61	1	0.000	77.152	75.894	84.085
  62	1	0.000	75.923	75.566	84.496
  63	2	0.000	77.303	76.490	83.191
  64	2	0.000	78.031	75.572	84.635
  65	2	0.000	75.045	75.888	83.947
  66	2	0.000	75.773	74.970	85.391
  67	1	0.000	29.881	3.858	35.657
  68	1	0.000	29.912	2.561	35.337
  69	2	0.000	29.049	4.278	36.212
  70	2	0.000	30.689	4.525	35.372
  71	2	0.000	29.105	1.894	35.622
  72	2	0.000	30.745	2.141	34.782
  73	1	0.000	55.945	25.867	38.840
  74	1	0.000	56.909	25.122	39.388
  75	2	0.000	54.971	25.958	39.310
  76	2	0.000	56.110	26.402	37.910
  77	2	0.000	56.744	24.588	40.317
  78	2	0.000	57.883	25.032	38.917
  79	1	0.000	50.711	50.332	76.290
  80	1	0.000	50.467	50.097	74.997
  81	2	0.000	51.247	49.612	76.899
  82	2	0.000	50.380	51.251	76.764
  83	2	0.000	50.798	49.179	74.523
